id,etapa,dia,data,etapa_inici,etapa_fi,distancia,dist_acum,desnivell,desn_acum,despesa,desp_acum,pernoctacio,pais,gpx,track_inici,track_fi,titul,link_youtube,link_gpx,link_strava,cafe,refresc,cervesa,persona,link_portada
-7,,,2/11/2025,,,,"0,000",,0,,"0,00",,1,,,,El vídeo més important de la meva vida,https://www.youtube.com/watch?v=CVD3eDH_1Nw,,,,,,,https://img.youtube.com/vi/CVD3eDH_1Nw/hqdefault.jpg
-6,,,6/11/2025,,,,"0,000",,0,,"0,00",,1,,,,La Volta al Món A PEU: Catalans sense Fronteres,https://www.youtube.com/watch?v=SdNcjFi-Igg,,,,,,,https://img.youtube.com/vi/SdNcjFi-Igg/hqdefault.jpg
-5,,,9/11/2025,,,,"0,000",,0,,"0,00",,1,,,,En Pau ha fet la Volta al Món en BICICLETA,https://www.youtube.com/watch?v=6LqNkFvZSNk,,,,,,,https://img.youtube.com/vi/6LqNkFvZSNk/hqdefault.jpg
-4,,,16/11/2025,,,,"0,000",,0,,"0,00",,1,,,,La RUTA de la Volta al Món a Peu,https://www.youtube.com/watch?v=z_rMlxuwe50,,,,,,,https://img.youtube.com/vi/z_rMlxuwe50/maxresdefault.jpg
-3,,,20/11/2025,,,,"0,000",,0,,"0,00",,1,,,,Així m'he entrenat per La Volta al Món a Peu | Carlos Mantero,https://www.youtube.com/watch?v=z9IrgSB2-fk,,,,,,,https://img.youtube.com/vi/z9IrgSB2-fk/hqdefault.jpg
-2,,,23/11/2025,,,,"0,000",,0,,"0,00",,1,,,,La MOTXILLA per La Volta al Món a Peu,https://www.youtube.com/watch?v=aJIc478hHjE,,,,,,,https://img.youtube.com/vi/aJIc478hHjE/hqdefault.jpg
-1,,,28/11/2025,,,,"0,000",,0,,"0,00",,1,,,,Tot pot sortir malament a La Volta al Món a Peu,https://www.youtube.com/watch?v=99MC3pwKPg8,,,,,,,https://img.youtube.com/vi/99MC3pwKPg8/hqdefault.jpg
0,,,30/11/2025,,Barcelona,,"0,000",,0,,"0,00",,2,,,"41.3870270,2.1700430",Sortida de La Volta al Món a Peu,https://www.youtube.com/watch?v=yO1f4UTKsAQ,,,,,,,https://img.youtube.com/vi/yO1f4UTKsAQ/hqdefault.jpg
1,1,1,30/11/2025,Barcelona,Mataró,"32,937","32,937",111,111,"0,00","0,00",Habitació,2,2025-11-30T114007Z.gpx,"41.3870270,2.1700430","41.5339540,2.4401490",Dia 1,https://www.youtube.com/watch?v=p1N6DtzCHEg,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-11-30T114007Z.gpx,https://www.strava.com/activities/16613377062,2,,,2,https://img.youtube.com/vi/p1N6DtzCHEg/hqdefault.jpg
2,2,2,1/12/2025,Mataró,Pineda de Mar,"28,898","61,835",252,363,"4,40","4,40",Tenda,2,2025-12-01T082826Z.gpx,"41.5340570,2.4400570","41.6338390,2.6981660",Maresme lliure i tropical. Dia 2,https://www.youtube.com/watch?v=gehMI05Chx8,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-01T082826Z.gpx,https://www.strava.com/activities/16620809169,2,1,,7,https://img.youtube.com/vi/gehMI05Chx8/hqdefault.jpg
3,3,3,2/12/2025,Pineda de Mar,Lloret de Mar,"32,766","94,601",623,986,"0,44","4,84",Tenda,2,2025-12-02T074818Z.gpx,"41.6338970,2.6982320","41.7197340,2.9000490",Selva Marítima. Dia 3,https://www.youtube.com/watch?v=lcgo6RQjJcQ,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-02T074818Z.gpx,https://www.strava.com/activities/16629999190,2,,,4,https://img.youtube.com/vi/lcgo6RQjJcQ/hqdefault.jpg
4,4,4,3/12/2025,Lloret de Mar,Sant Feliu de Guíxols,"27,818","122,419",565,1551,"4,50","9,34",Habitació,2,2025-12-03T071419Z.gpx,"41.7197350,2.8994220","41.7813390,3.0317650",Empordanesos i empordaneses. Dia 4,https://www.youtube.com/watch?v=mobBXwDWj14,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-03T071419Z.gpx,https://www.strava.com/activities/16639800510,1,1,,5,https://img.youtube.com/vi/mobBXwDWj14/hqdefault.jpg
5,5,5,4/12/2025,Sant Feliu de Guíxols,Llafranc,"29,512","151,931",654,2205,"3,69","13,03",Tenda,2,2025-12-04T091421Z.gpx,"41.7812530,3.0316380","41.8979980,3.2028430",Cursa de relleus. Dia 5,https://www.youtube.com/watch?v=gmEbsK-hy7g,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-04T091421Z.gpx,https://www.strava.com/activities/16649501116,1,,,6,https://img.youtube.com/vi/gmEbsK-hy7g/hqdefault.jpg
6,6,6,5/12/2025,Llafranc,Torroella de Montgrí,"30,697","182,628",634,2839,"18,00","31,03",Habitació,2,2025-12-05T065923Z.gpx,"41.8980370,3.2028220","42.0410770,3.1260790",Radio Liberty. Dia 6,https://www.youtube.com/watch?v=xWuBXoJhaHY,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-05T065923Z.gpx,https://www.strava.com/activities/16658586296,4,1,,4,https://img.youtube.com/vi/xWuBXoJhaHY/hqdefault.jpg
7,7,7,6/12/2025,Torroella de Montgrí,Sant Pere Pescador,"23,505","206,133",251,3090,"8,00","39,03",Tenda,2,2025-12-06T071842Z.gpx,"42.0411680,3.1256370","42.1693750,3.0966150",Tinc visita. Dia 7,https://www.youtube.com/watch?v=yWi1AHtM-7E,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-06T071842Z.gpx,https://www.strava.com/activities/16667891274,1,,2,6,https://img.youtube.com/vi/yWi1AHtM-7E/hqdefault.jpg
8,8,8,7/12/2025,Sant Pere Pescador,Llançà,"27,870","234,003",299,3389,"0,00","39,03",Tenda,2,2025-12-07T072035Z.gpx,"42.1693040,3.0966170","42.3623390,3.1148560","Faves, botifarra i crema catalana. Dia 8",https://www.youtube.com/watch?v=0STo1xefmGc,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-07T072035Z.gpx,https://www.strava.com/activities/16677349890,2,,,6,https://img.youtube.com/vi/0STo1xefmGc/hqdefault.jpg
9,9,9,8/12/2025,Llançà,Banyuls de la Marenda,"25,122","259,125",996,4385,"0,00","39,03",Tenda,2,2025-12-08T073416Z.gpx,"42.3622050,3.1147210","42.4831550,3.1219440",Primera Frontera. Dia 9,https://www.youtube.com/watch?v=40ds1J-CnlA,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-08T073416Z.gpx,https://www.strava.com/activities/16685520215,1,,2,5,https://img.youtube.com/vi/40ds1J-CnlA/hqdefault.jpg
10,10,10,9/12/2025,Banyuls de la Marenda,Canet de Rosselló,"39,373","298,497",405,4790,"46,00","85,03",Habitació,3,2025-12-09T071403Z.gpx,"42.4826600,3.1216330","42.7058110,3.0029770",Bon dia / Bonjour. Dia 10,https://www.youtube.com/watch?v=h7Vgvb5g4hk,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-09T071403Z.gpx,https://www.strava.com/activities/16695896493,1,,,3,https://img.youtube.com/vi/h7Vgvb5g4hk/hqdefault.jpg
11,11,11,10/12/2025,Canet de Rosselló,Leucata,"33,273","331,771",134,4924,"0,00","85,03",Tenda,3,2025-12-10T074940Z.gpx,"42.7058420,3.0029880","42.9135710,3.0296990","Quatre barres, de pa. Dia 11",https://www.youtube.com/watch?v=prxx7xjvkUc,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-10T074940Z.gpx,https://www.strava.com/activities/16705191666,,,,1,https://img.youtube.com/vi/prxx7xjvkUc/hqdefault.jpg
12,12,12,11/12/2025,Leucata,Gruissan,"32,262","364,033",83,5007,"43,00","128,03",Habitació,3,2025-12-11T064759Z.gpx,"42.9135160,3.0296380","43.1094930,3.0633440",2x1. Dies 12 i 13,https://www.youtube.com/watch?v=H8hHHTELGQA,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-11T064759Z.gpx,https://www.strava.com/activities/16713903162,1,,,1,https://img.youtube.com/vi/H8hHHTELGQA/hqdefault.jpg
13,13,13,12/12/2025,Gruissan,Aude,"24,657","388,690",177,5184,"5,50","133,53",Tenda,3,2025-12-12T101837Z.gpx,"43.1098950,3.0633200","43.2321760,3.1834830",,,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-12T101837Z.gpx,https://www.strava.com/activities/16723378287,1,,,1,
